Freelancer_ID,Skills,Experience_Years,Description,Project_Rate,Rating,Jobs_Completed
F0014,"deployment automation, azure iot hub, gitlab, infrastructure management",11,"Senior DevOps professional with 11 years of experience specializing in deployment automation, azure iot hub, gitlab. Brings deep expertise in infrastructure management, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3428-$5243,4.7,180
F0015,"node.js, virtual reality, software developer, php, web crawling",12,"Senior Web Development professional with 12 years of experience specializing in node.js, virtual reality, software developer. Brings deep expertise in php, web crawling, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4609-$5814,4.5,163
F0016,"usability testing, user experience design, figma, wireframing",14,"Senior UI/UX Design professional with 14 years of experience specializing in usability testing, user experience design, figma. Brings deep expertise in wireframing, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2607-$9527,4.9,54
F0017,"management consulting, business presentation, business analysis, business innovation, implementation plan",14,"Senior Business & Consulting professional with 14 years of experience specializing in management consulting, business presentation, business analysis. Brings deep expertise in business innovation, implementation plan, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3480-$5082,5.0,108
F0018,"business research, business process modeling, sales management, brand consulting",3,"Entry-level Business & Consulting professional with 3 years of experience specializing in business research, business process modeling, sales management. Brings deep expertise in brand consulting, enthusiastic about solving real-world challenges and expanding expertise.",$404-$954,4.0,7
F0019,"web hosting, api development",15,"Senior Web Development professional with 15 years of experience specializing in web hosting, api development. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1968-$6000,5.0,188
F0020,"responsive design, user experience strategy",1,"Entry-level UI/UX Design professional with 1 years of experience specializing in responsive design, user experience strategy. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$158-$643,3.6,10
F0021,"security testing, firewall",6,"Mid-level Cybersecurity professional with 6 years of experience specializing in security testing, firewall. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1398-$2105,4.5,38
F0022,"encryption, cyber threat intelligence, security policies & procedures documentation",13,"Senior Cybersecurity professional with 13 years of experience specializing in encryption, cyber threat intelligence, security policies & procedures documentation. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3946-$5151,4.7,54
F0023,"executive coaching, coaching",14,"Senior Education & Training professional with 14 years of experience specializing in executive coaching, coaching. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3944-$5753,4.9,67
F0024,"social media content, copywriting",2,"Entry-level Writing & Content Creation professional with 2 years of experience specializing in social media content, copywriting. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$123-$692,4.3,1
F0025,"academic editing, bilingual education, program management, research writer, workshop facilitation",5,"Mid-level Education & Training professional with 5 years of experience specializing in academic editing, bilingual education, program management. Brings deep expertise in research writer, workshop facilitation, proficient in developing scalable solutions and optimizing workflows.",$512-$2615,4.4,11
F0026,"greek to english translation, albanian, turkish to english translation, greek",15,"Senior Translation & Languages professional with 15 years of experience specializing in greek to english translation, albanian, turkish to english translation. Brings deep expertise in greek, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1913-$5945,4.6,100
F0027,"user experience design, design enhancement",6,"Mid-level UI/UX Design professional with 6 years of experience specializing in user experience design, design enhancement. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$901-$2276,4.8,31
F0028,"ux copy, visual communication",1,"Entry-level UI/UX Design professional with 1 years of experience specializing in ux copy, visual communication. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$225-$658,3.7,5
F0029,"google data studio, classification",10,"Senior Data Science professional with 10 years of experience specializing in google data studio, classification. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3808-$8635,4.5,87
F0030,"web crawling, html2text",8,"Senior Web Development professional with 8 years of experience specializing in web crawling, html2text. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1558-$9022,4.9,106
F0031,"database development, nosql database, data modeling, oracle database",12,"Senior Database Management professional with 12 years of experience specializing in database development, nosql database, data modeling. Brings deep expertise in oracle database, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2153-$9609,4.7,73
F0032,"docker, azure machine learning, openshift, cloud implementation, microsoft azure",13,"Senior DevOps professional with 13 years of experience specializing in docker, azure machine learning, openshift. Brings deep expertise in cloud implementation, microsoft azure, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3878-$8363,4.7,190
F0033,"azure cosmos db, azure iot core",6,"Mid-level DevOps professional with 6 years of experience specializing in azure cosmos db, azure iot core. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$677-$2120,4.7,50
F0034,"data analytics, rapidminer, python, data interpretation, pandas",1,"Entry-level Data Science professional with 1 years of experience specializing in data analytics, rapidminer, python. Brings deep expertise in data interpretation, pandas, enthusiastic about solving real-world challenges and expanding expertise.",$434-$583,3.5,3
F0035,"hypothesis testing, data analysis, machine learning, tensorflow, chatgpt",10,"Senior Data Science professional with 10 years of experience specializing in hypothesis testing, data analysis, machine learning. Brings deep expertise in tensorflow, chatgpt, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2274-$9762,4.9,103
F0036,"on-page seo, google optimize",15,"Senior Marketing & SEO professional with 15 years of experience specializing in on-page seo, google optimize. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3337-$5260,4.9,183
F0037,"flutter, kotlin, mobile app design, ionic framework, android",3,"Entry-level Mobile Development professional with 3 years of experience specializing in flutter, kotlin, mobile app design. Brings deep expertise in ionic framework, android, enthusiastic about solving real-world challenges and expanding expertise.",$310-$775,3.7,4
F0038,"transact-sql, database administration, database management, data warehousing, mariadb",12,"Senior Database Management professional with 12 years of experience specializing in transact-sql, database administration, database management. Brings deep expertise in data warehousing, mariadb, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1861-$6571,4.5,171
F0039,"mobile ui designer, hybrid app development, ionic framework, ux wireframe, react native",9,"Senior Mobile Development professional with 9 years of experience specializing in mobile ui designer, hybrid app development, ionic framework. Brings deep expertise in ux wireframe, react native, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2758-$7500,4.9,84
F0040,"yoruba, english to thai translation, vietnamese, japanese to english translation",11,"Senior Translation & Languages professional with 11 years of experience specializing in yoruba, english to thai translation, vietnamese. Brings deep expertise in japanese to english translation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2253-$7988,5.0,118
F0041,"mysql, microsoft sql server administration, oracle database",5,"Mid-level Web Development professional with 5 years of experience specializing in mysql, microsoft sql server administration, oracle database. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1182-$1986,4.8,15
F0042,"data warehousing, sql, sql programming, nosql database",9,"Senior Database Management professional with 9 years of experience specializing in data warehousing, sql, sql programming. Brings deep expertise in nosql database, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2591-$6641,4.8,63
F0043,"devops engineering, azure machine learning",4,"Mid-level DevOps professional with 4 years of experience specializing in devops engineering, azure machine learning. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1315-$2225,4.2,36
F0044,"life coaching, career coaching",9,"Senior Education & Training professional with 9 years of experience specializing in life coaching, career coaching. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2325-$5141,4.8,68
F0045,"information security, vpn, encryption, security policies & procedures documentation",10,"Senior Cybersecurity professional with 10 years of experience specializing in information security, vpn, encryption. Brings deep expertise in security policies & procedures documentation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3337-$6696,5.0,182
F0046,"cloud architecture, microsoft azure",11,"Senior DevOps professional with 11 years of experience specializing in cloud architecture, microsoft azure. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2913-$8022,4.9,147
F0047,"figma, wireframing, ui/ux prototyping, prototyping, user research",15,"Senior UI/UX Design professional with 15 years of experience specializing in figma, wireframing, ui/ux prototyping. Brings deep expertise in prototyping, user research, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3161-$6390,4.8,148
F0048,"fiction writing, research papers, content localization, content analysis",9,"Senior Writing & Content Creation professional with 9 years of experience specializing in fiction writing, research papers, content localization. Brings deep expertise in content analysis, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2776-$9575,4.7,112
F0049,"azure iot core, azure openai, devops, azure cosmos db",10,"Senior DevOps professional with 10 years of experience specializing in azure iot core, azure openai, devops. Brings deep expertise in azure cosmos db, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1885-$7349,4.7,180
F0050,"program management, training plan, research writer, academic research, training design",12,"Senior Education & Training professional with 12 years of experience specializing in program management, training plan, research writer. Brings deep expertise in academic research, training design, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2731-$8112,4.9,53
F0051,"teaching english, presentation design",7,"Mid-level Education & Training professional with 7 years of experience specializing in teaching english, presentation design. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$706-$2257,4.4,19
F0052,"corporate governance, sales leadership, business consulting, implementation plan",8,"Senior Business & Consulting professional with 8 years of experience specializing in corporate governance, sales leadership, business consulting. Brings deep expertise in implementation plan, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3690-$8693,4.8,93
F0053,"distance education, program curriculum, academic researcher",12,"Senior Education & Training professional with 12 years of experience specializing in distance education, program curriculum, academic researcher. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1814-$7537,4.9,181
F0054,"sql, postgresql, nosql database, database programming, transact-sql",7,"Mid-level Data Science professional with 7 years of experience specializing in sql, postgresql, nosql database. Brings deep expertise in database programming, transact-sql, proficient in developing scalable solutions and optimizing workflows.",$742-$2187,4.0,36
F0055,"google ads, ecommerce marketing, seo keyword research, google analytics api",9,"Senior Marketing & SEO professional with 9 years of experience specializing in google ads, ecommerce marketing, seo keyword research. Brings deep expertise in google analytics api, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2048-$8657,4.6,176
F0056,"2d design, 3d texturing, print design",13,"Senior Graphic & Visual Design professional with 13 years of experience specializing in 2d design, 3d texturing, print design. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4379-$7532,4.8,105
F0057,"business writing, partnership development, management consulting, business consulting",8,"Senior Business & Consulting professional with 8 years of experience specializing in business writing, partnership development, management consulting. Brings deep expertise in business consulting, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3264-$7806,4.6,102
F0058,"lean startup, project portfolio management, project delivery, project management",14,"Senior Project Management professional with 14 years of experience specializing in lean startup, project portfolio management, project delivery. Brings deep expertise in project management, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1779-$5387,5.0,199
F0059,"security infrastructure, network security, cyber threat intelligence",5,"Mid-level Cybersecurity professional with 5 years of experience specializing in security infrastructure, network security, cyber threat intelligence. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$832-$2258,4.2,38
F0060,"mobile app redesign, mobile app development, flutter, ios, react native",4,"Mid-level Mobile Development professional with 4 years of experience specializing in mobile app redesign, mobile app development, flutter. Brings deep expertise in ios, react native, proficient in developing scalable solutions and optimizing workflows.",$1160-$1675,4.2,44
F0061,"analytics, chatgpt, data mining",5,"Mid-level Data Science professional with 5 years of experience specializing in analytics, chatgpt, data mining. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1049-$1986,4.8,18
F0062,"training & development, distance education, education, teaching spanish, learning theory",7,"Mid-level Education & Training professional with 7 years of experience specializing in training & development, distance education, education. Brings deep expertise in teaching spanish, learning theory, proficient in developing scalable solutions and optimizing workflows.",$921-$1723,4.7,27
F0063,"facebook pixel setup & optimization, twitter marketing",9,"Senior Marketing & SEO professional with 9 years of experience specializing in facebook pixel setup & optimization, twitter marketing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1843-$9657,4.9,182
F0064,"design enhancement, user experience strategy",15,"Senior UI/UX Design professional with 15 years of experience specializing in design enhancement, user experience strategy. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1553-$8224,4.6,144
F0065,"artificial intelligence, visualization",9,"Senior Data Science professional with 9 years of experience specializing in artificial intelligence, visualization. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3071-$5240,4.7,70
F0066,"web development plugin, jinja2, django",14,"Senior Web Development professional with 14 years of experience specializing in web development plugin, jinja2, django. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4990-$5220,4.6,66
F0067,"photo manipulation, adobe after effects, adobe indesign, image enhancement, typography",3,"Entry-level Graphic & Visual Design professional with 3 years of experience specializing in photo manipulation, adobe after effects, adobe indesign. Brings deep expertise in image enhancement, typography, enthusiastic about solving real-world challenges and expanding expertise.",$267-$593,3.8,10
F0068,"english to polish translation, urdu to english translation, hindi to english translation, portuguese to english translation, italian to english translation",14,"Senior Translation & Languages professional with 14 years of experience specializing in english to polish translation, urdu to english translation, hindi to english translation. Brings deep expertise in portuguese to english translation, italian to english translation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3027-$5727,4.5,130
F0069,"teaching english, higher education",8,"Senior Education & Training professional with 8 years of experience specializing in teaching english, higher education. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2642-$5244,4.6,144
F0070,"deep learning, deep learning modeling, tableau",6,"Mid-level Data Science professional with 6 years of experience specializing in deep learning, deep learning modeling, tableau. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$721-$1578,4.3,11
F0071,"influencer marketing, social media strategy, tiktok marketing, off-page seo, facebook advertising",2,"Entry-level Marketing & SEO professional with 2 years of experience specializing in influencer marketing, social media strategy, tiktok marketing. Brings deep expertise in off-page seo, facebook advertising, enthusiastic about solving real-world challenges and expanding expertise.",$256-$546,4.2,6
F0072,"blog writing, copywriting, social media content",1,"Entry-level Writing & Content Creation professional with 1 years of experience specializing in blog writing, copywriting, social media content. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$147-$703,4.4,10
F0073,"3d rendering, graphic design, 3d texturing",13,"Senior Graphic & Visual Design professional with 13 years of experience specializing in 3d rendering, graphic design, 3d texturing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4743-$6639,4.7,185
F0074,"ghostwriting, content localization",9,"Senior Writing & Content Creation professional with 9 years of experience specializing in ghostwriting, content localization. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3029-$6160,4.6,200
F0075,"wireframing, ui/ux prototyping",13,"Senior UI/UX Design professional with 13 years of experience specializing in wireframing, ui/ux prototyping. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4200-$7651,4.7,64
F0076,"time series analysis, analytics",1,"Entry-level Data Science professional with 1 years of experience specializing in time series analysis, analytics. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$113-$833,3.8,3
F0077,"react native, mobile app design, ios, kotlin, swift",8,"Senior Mobile Development professional with 8 years of experience specializing in react native, mobile app design, ios. Brings deep expertise in kotlin, swift, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4775-$7345,4.6,186
F0078,"business innovation, organizational design & effectiveness, sales leadership, corporate strategy",3,"Entry-level Business & Consulting professional with 3 years of experience specializing in business innovation, organizational design & effectiveness, sales leadership. Brings deep expertise in corporate strategy, enthusiastic about solving real-world challenges and expanding expertise.",$76-$581,4.3,7
F0079,"html, web crawling, restful api, web service",5,"Mid-level Web Development professional with 5 years of experience specializing in html, web crawling, restful api. Brings deep expertise in web service, proficient in developing scalable solutions and optimizing workflows.",$1236-$1766,4.4,30
F0080,"aws cloudformation, serverless computing, cloud computing, azure machine learning, automation",10,"Senior DevOps professional with 10 years of experience specializing in aws cloudformation, serverless computing, cloud computing. Brings deep expertise in azure machine learning, automation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1734-$8820,4.8,76
F0081,"project timelines, scrum",4,"Mid-level Project Management professional with 4 years of experience specializing in project timelines, scrum. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$513-$2637,4.6,46
F0082,"mongodb, data warehousing, sql programming",9,"Senior Database Management professional with 9 years of experience specializing in mongodb, data warehousing, sql programming. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1641-$8628,4.8,51
F0083,"sql server integration services, nosql database",11,"Senior Database Management professional with 11 years of experience specializing in sql server integration services, nosql database. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2211-$6723,4.5,123
F0084,"content creation, content localization, fiction writing, content guidelines",8,"Senior Writing & Content Creation professional with 8 years of experience specializing in content creation, content localization, fiction writing. Brings deep expertise in content guidelines, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1847-$7977,4.5,140
F0085,"off-page seo, social media strategy, seo keyword research, search engine optimization",14,"Senior Marketing & SEO professional with 14 years of experience specializing in off-page seo, social media strategy, seo keyword research. Brings deep expertise in search engine optimization, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3197-$9408,4.9,57
F0086,"tableau, support vector machine, data science, snowflake",14,"Senior Data Science professional with 14 years of experience specializing in tableau, support vector machine, data science. Brings deep expertise in snowflake, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2515-$8131,4.6,62
F0087,"training, program management",2,"Entry-level Education & Training professional with 2 years of experience specializing in training, program management. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$437-$812,4.0,6
F0088,"network security, encryption, security testing, security policies & procedures documentation",9,"Senior Cybersecurity professional with 9 years of experience specializing in network security, encryption, security testing. Brings deep expertise in security policies & procedures documentation, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$1778-$8851,4.7,61
F0089,"content development, content strategy, content audit, content guidelines",8,"Senior Writing & Content Creation professional with 8 years of experience specializing in content development, content strategy, content audit. Brings deep expertise in content guidelines, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3661-$6079,4.6,51
F0090,"model optimization, sql, deep learning, deep learning modeling",9,"Senior Data Science professional with 9 years of experience specializing in model optimization, sql, deep learning. Brings deep expertise in deep learning modeling, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2910-$5402,4.8,169
F0091,"google analytics, influencer marketing, social media engagement",6,"Mid-level Marketing & SEO professional with 6 years of experience specializing in google analytics, influencer marketing, social media engagement. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$617-$2316,4.1,14
F0092,"infrastructure management, microsoft azure, azure devops",12,"Senior DevOps professional with 12 years of experience specializing in infrastructure management, microsoft azure, azure devops. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3600-$6875,4.8,125
F0093,"etl pipeline, tensorflow, google data studio, report writing",11,"Senior Data Science professional with 11 years of experience specializing in etl pipeline, tensorflow, google data studio. Brings deep expertise in report writing, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2343-$7885,4.5,146
F0094,"education, academic editing, academic writing, training",10,"Senior Education & Training professional with 10 years of experience specializing in education, academic editing, academic writing. Brings deep expertise in training, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2987-$8648,4.9,104
F0095,"organizational development, organizational plan, organizational structure",10,"Senior Business & Consulting professional with 10 years of experience specializing in organizational development, organizational plan, organizational structure. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3745-$5454,4.9,156
F0096,"information security, cybersecurity management, penetration testing",13,"Senior Cybersecurity professional with 13 years of experience specializing in information security, cybersecurity management, penetration testing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2743-$8980,4.9,129
F0097,"illustration, 3d rendering",5,"Mid-level Graphic & Visual Design professional with 5 years of experience specializing in illustration, 3d rendering. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$841-$2888,4.4,42
F0098,"microsoft azure, azure devops server",7,"Mid-level DevOps professional with 7 years of experience specializing in microsoft azure, azure devops server. Brings deep expertise in other relevant technologies, proficient in developing scalable solutions and optimizing workflows.",$1222-$1935,4.2,23
F0099,"facebook pixel setup & optimization, content marketing, seo keyword research",3,"Entry-level Marketing & SEO professional with 3 years of experience specializing in facebook pixel setup & optimization, content marketing, seo keyword research. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$140-$852,4.2,4
F0100,"cloud implementation, ansible, cloud computing, microsoft azure, serverless computing",11,"Senior DevOps professional with 11 years of experience specializing in cloud implementation, ansible, cloud computing. Brings deep expertise in microsoft azure, serverless computing, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2295-$8552,5.0,146
F0101,"community management, content seo, facebook advertising, campaign optimization, influencer marketing",5,"Mid-level Marketing & SEO professional with 5 years of experience specializing in community management, content seo, facebook advertising. Brings deep expertise in campaign optimization, influencer marketing, proficient in developing scalable solutions and optimizing workflows.",$746-$2682,4.1,17
F0102,"numpy, bigquery, deep learning modeling, data analysis",10,"Senior Data Science professional with 10 years of experience specializing in numpy, bigquery, deep learning modeling. Brings deep expertise in data analysis, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4904-$8720,4.7,140
F0103,"source code scanning, information security consultation, security testing",14,"Senior Cybersecurity professional with 14 years of experience specializing in source code scanning, information security consultation, security testing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3363-$6593,4.8,61
F0104,"digital project management, project finance, project timelines",1,"Entry-level Project Management professional with 1 years of experience specializing in digital project management, project finance, project timelines. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$274-$508,4.2,6
F0105,"python, chatgpt, statistics",8,"Senior Data Science professional with 8 years of experience specializing in python, chatgpt, statistics. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4385-$6331,4.7,76
F0106,"content marketing strategy, blog writing, social media content, content strategy, journalism writing",15,"Senior Writing & Content Creation professional with 15 years of experience specializing in content marketing strategy, blog writing, social media content. Brings deep expertise in content strategy, journalism writing, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$2670-$7433,4.5,74
F0107,"email marketing, seo keyword research, b2b marketing",11,"Senior Marketing & SEO professional with 11 years of experience specializing in email marketing, seo keyword research, b2b marketing. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3205-$9512,4.9,79
F0108,"sql server integration services, postgresql, database administration",2,"Entry-level Database Management professional with 2 years of experience specializing in sql server integration services, postgresql, database administration. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$384-$570,3.5,4
F0109,"mysql, web hosting, web development, webgl, software architecture & design",7,"Mid-level Web Development professional with 7 years of experience specializing in mysql, web hosting, web development. Brings deep expertise in webgl, software architecture & design, proficient in developing scalable solutions and optimizing workflows.",$987-$2182,4.6,50
F0110,"b2b marketing, off-page seo",1,"Entry-level Marketing & SEO professional with 1 years of experience specializing in b2b marketing, off-page seo. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$70-$878,3.6,4
F0111,"web hosting, web scraping framework",1,"Entry-level Web Development professional with 1 years of experience specializing in web hosting, web scraping framework. Brings deep expertise in other relevant technologies, enthusiastic about solving real-world challenges and expanding expertise.",$454-$993,4.5,1
F0112,"typography, package graphics, 3d illustration, illustration, character design",10,"Senior Graphic & Visual Design professional with 10 years of experience specializing in typography, package graphics, 3d illustration. Brings deep expertise in illustration, character design, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$3887-$6291,5.0,67
F0113,"instructional design, workshop facilitation, academic editing, training & development, learning management system",14,"Senior Education & Training professional with 14 years of experience specializing in instructional design, workshop facilitation, academic editing. Brings deep expertise in training & development, learning management system, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4257-$8066,4.7,154
F0114,"design enhancement, user experience design, adobe xd",12,"Senior UI/UX Design professional with 12 years of experience specializing in design enhancement, user experience design, adobe xd. Brings deep expertise in other relevant technologies, experienced in leading high-impact projects, mentoring teams, and driving innovation.",$4443-$9893,4.6,132
