Skills,Experience_Level,Description,Budget_Project
"Business & Consulting: organizational structure, business development, business plan, business coaching; General: git",Intermediate,"Intermediate Business & Consulting professional with experience in organizational structure, business development, business plan, business coaching.",$1135-$1739
"Web Development: web application, software architecture & design; General: sql, git",Intermediate,"Intermediate Web Development professional with experience in web application, software architecture & design.",$1448-$1757
"Business & Consulting: corporate social responsibility, organizational development, business planning & strategy, business intelligence software; General: sql",Intermediate,"Intermediate Business & Consulting professional with experience in corporate social responsibility, organizational development, business planning & strategy, business intelligence software.",$1061-$2627
"Web Development: html5, django; General: ",Entry Level,"Entry Level Web Development professional with experience in html5, django.",$328-$528
"Writing & Content Creation: ghostwriting, content analysis, journalism writing, editorial writing; General: agile",Entry Level,"Entry Level Writing & Content Creation professional with experience in ghostwriting, content analysis, journalism writing, editorial writing.",$112-$937
"Database Management: database design, sql, oracle database; General: api, git",Entry Level,"Entry Level Database Management professional with experience in database design, sql, oracle database.",$421-$617
"Writing & Content Creation: speech writing, content planning, product documentation; General: sql",Expert,"Expert Writing & Content Creation professional with experience in speech writing, content planning, product documentation.",$1968-$8512
"Web Development: web design, database; General: agile",Entry Level,"Entry Level Web Development professional with experience in web design, database.",$138-$956
"Marketing & SEO: content writing, influencer marketing, facebook pixel setup & optimization; General: agile",Intermediate,"Intermediate Marketing & SEO professional with experience in content writing, influencer marketing, facebook pixel setup & optimization.",$953-$1733
"Business & Consulting: leadership skills, strategic plan, business plan; General: project management, git",Entry Level,"Entry Level Business & Consulting professional with experience in leadership skills, strategic plan, business plan.",$440-$730
"Mobile Development: react native, android app development, kotlin; General: ",Entry Level,"Entry Level Mobile Development professional with experience in react native, android app development, kotlin.",$339-$912
"Translation & Languages: norwegian, urdu to english translation, french to english translation; General: api, sql",Intermediate,"Intermediate Translation & Languages professional with experience in norwegian, urdu to english translation, french to english translation.",$916-$2514
"Marketing & SEO: off-page seo, marketing analytics; General: git, api",Intermediate,"Intermediate Marketing & SEO professional with experience in off-page seo, marketing analytics.",$985-$2564
"Data Science: bayesian statistics, model tuning, exploratory data analysis, microsoft power bi; General: ",Entry Level,"Entry Level Data Science professional with experience in bayesian statistics, model tuning, exploratory data analysis, microsoft power bi.",$341-$600
"Marketing & SEO: content marketing, ecommerce marketing; General: agile, git",Intermediate,"Intermediate Marketing & SEO professional with experience in content marketing, ecommerce marketing.",$1126-$2005
"Education & Training: learning theory, training, course, academic writing; General: api",Entry Level,"Entry Level Education & Training professional with experience in learning theory, training, course, academic writing.",$485-$758
"Writing & Content Creation: blog content, academic writing, content localization; General: api, project management",Expert,"Expert Writing & Content Creation professional with experience in blog content, academic writing, content localization.",$4844-$8216
"Cybersecurity: vpn, personal information protection & electronic documents act; General: sql",Expert,"Expert Cybersecurity professional with experience in vpn, personal information protection & electronic documents act.",$4755-$9366
"Education & Training: life coaching, program evaluation, academic proofreading; General: git, sql",Entry Level,"Entry Level Education & Training professional with experience in life coaching, program evaluation, academic proofreading.",$355-$692
"DevOps: docker, aws cloudformation, azure devops server; General: ",Expert,"Expert DevOps professional with experience in docker, aws cloudformation, azure devops server.",$2410-$7118
"Data Science: python, business intelligence, time series analysis, machine learning model; General: ",Expert,"Expert Data Science professional with experience in python, business intelligence, time series analysis, machine learning model.",$1739-$6811
"Graphic & Visual Design: print design, 2d design; General: git, project management",Expert,"Expert Graphic & Visual Design professional with experience in print design, 2d design.",$1680-$5954
"Database Management: data modeling, postgresql, sql server integration services; General: ",Intermediate,"Intermediate Database Management professional with experience in data modeling, postgresql, sql server integration services.",$1091-$1759
"Mobile Development: android sdk, mobile ui designer, ios development; General: agile, api",Intermediate,"Intermediate Mobile Development professional with experience in android sdk, mobile ui designer, ios development.",$1109-$2054
"DevOps: automation, kubernetes, ansible, aws cloudformation; General: agile",Entry Level,"Entry Level DevOps professional with experience in automation, kubernetes, ansible, aws cloudformation.",$254-$633
"Data Science: data interpretation, visualization, numpy; General: ",Intermediate,"Intermediate Data Science professional with experience in data interpretation, visualization, numpy.",$832-$2749
"Data Science: data segmentation, hypothesis testing, bigquery, machine learning; General: sql, project management",Intermediate,"Intermediate Data Science professional with experience in data segmentation, hypothesis testing, bigquery, machine learning.",$830-$2288
"Business & Consulting: sales leadership, brand consulting, business development, partnership development; General: ",Expert,"Expert Business & Consulting professional with experience in sales leadership, brand consulting, business development, partnership development.",$4307-$9936
"Marketing & SEO: social media engagement, google search console; General: git",Expert,"Expert Marketing & SEO professional with experience in social media engagement, google search console.",$3944-$6629
"DevOps: aws cloudfront, azure blockchain service; General: git",Intermediate,"Intermediate DevOps professional with experience in aws cloudfront, azure blockchain service.",$923-$2900
"Writing & Content Creation: product documentation, content creation, research papers; General: sql",Entry Level,"Entry Level Writing & Content Creation professional with experience in product documentation, content creation, research papers.",$55-$717
"Data Science: big data, statistics, python; General: ",Expert,"Expert Data Science professional with experience in big data, statistics, python.",$4008-$9066
"Marketing & SEO: social media account setup, content seo, google optimize, seo strategy; General: project management",Intermediate,"Intermediate Marketing & SEO professional with experience in social media account setup, content seo, google optimize, seo strategy.",$966-$2210
"Business & Consulting: sales management, business services; General: api",Intermediate,"Intermediate Business & Consulting professional with experience in sales management, business services.",$1008-$2858
"Web Development: wordpress plugin, dbt, php; General: ",Entry Level,"Entry Level Web Development professional with experience in wordpress plugin, dbt, php.",$247-$707
"Data Science: numpy, report writing; General: ",Expert,"Expert Data Science professional with experience in numpy, report writing.",$3995-$9419
"Data Science: recommendation system, data scraping, big data, report writing; General: project management, api",Expert,"Expert Data Science professional with experience in recommendation system, data scraping, big data, report writing.",$1703-$5078
"Marketing & SEO: facebook advertising, analytics & tracking setup, search engine optimization, social media engagement; General: api, git",Expert,"Expert Marketing & SEO professional with experience in facebook advertising, analytics & tracking setup, search engine optimization, social media engagement.",$3943-$9438
"Marketing & SEO: email marketing, seo audit, content seo, google adsense; General: ",Intermediate,"Intermediate Marketing & SEO professional with experience in email marketing, seo audit, content seo, google adsense.",$674-$1629
"DevOps: gitlab, jenkins, azure iot core, aws cloudfront; General: agile",Expert,"Expert DevOps professional with experience in gitlab, jenkins, azure iot core, aws cloudfront.",$3091-$7951
"Cybersecurity: security infrastructure, firewall, information security consultation; General: agile, sql",Entry Level,"Entry Level Cybersecurity professional with experience in security infrastructure, firewall, information security consultation.",$460-$600
"UI/UX Design: wireframing, ux & ui, user experience design, usability testing; General: project management",Expert,"Expert UI/UX Design professional with experience in wireframing, ux & ui, user experience design, usability testing.",$1786-$7065
"Database Management: transact-sql, mysql, mariadb; General: ",Expert,"Expert Database Management professional with experience in transact-sql, mysql, mariadb.",$4326-$7980
"Business & Consulting: business consulting, corporate strategy, business operations, business plan; General: ",Intermediate,"Intermediate Business & Consulting professional with experience in business consulting, corporate strategy, business operations, business plan.",$723-$2326
"Education & Training: academic writing, training presentation; General: api, git",Expert,"Expert Education & Training professional with experience in academic writing, training presentation.",$2727-$6291
"Project Management: project objectives, project delivery, requirements specification; General: api",Entry Level,"Entry Level Project Management professional with experience in project objectives, project delivery, requirements specification.",$375-$800
"UI/UX Design: design enhancement, figma, visual communication, ux copy; General: sql, project management",Expert,"Expert UI/UX Design professional with experience in design enhancement, figma, visual communication, ux copy.",$4924-$9769
"Database Management: data warehousing, database architecture; General: api, agile",Entry Level,"Entry Level Database Management professional with experience in data warehousing, database architecture.",$271-$689
"Marketing & SEO: off-page seo, search engine optimization, marketing strategy; General: agile, api",Entry Level,"Entry Level Marketing & SEO professional with experience in off-page seo, search engine optimization, marketing strategy.",$335-$682
"UI/UX Design: figma, usability testing, visual communication, user interface design; General: sql, agile",Expert,"Expert UI/UX Design professional with experience in figma, usability testing, visual communication, user interface design.",$4114-$6861
"UI/UX Design: responsive design, prototyping; General: ",Intermediate,"Intermediate UI/UX Design professional with experience in responsive design, prototyping.",$1014-$1696
"Mobile Development: react native, ios development, iphone ui design, mobile app improvement; General: ",Expert,"Expert Mobile Development professional with experience in react native, ios development, iphone ui design, mobile app improvement.",$4427-$8255
"Translation & Languages: french to german translation, french to spanish translation, english to vietnamese translation; General: api, project management",Expert,"Expert Translation & Languages professional with experience in french to german translation, french to spanish translation, english to vietnamese translation.",$2451-$8574
"Marketing & SEO: tiktok marketing, google optimize, seo strategy, google adsense; General: api, project management",Entry Level,"Entry Level Marketing & SEO professional with experience in tiktok marketing, google optimize, seo strategy, google adsense.",$361-$685
"Web Development: css, website, laravel, virtual reality; General: ",Expert,"Expert Web Development professional with experience in css, website, laravel, virtual reality.",$3397-$6714
"Cybersecurity: cyber threat intelligence, source code scanning, security policies & procedures documentation, network security; General: ",Intermediate,"Intermediate Cybersecurity professional with experience in cyber threat intelligence, source code scanning, security policies & procedures documentation, network security.",$1328-$2890
"Graphic & Visual Design: character design, 3d design; General: git, project management",Expert,"Expert Graphic & Visual Design professional with experience in character design, 3d design.",$3975-$7696
"Cybersecurity: vpn, encryption; General: project management, agile",Intermediate,"Intermediate Cybersecurity professional with experience in vpn, encryption.",$612-$2961
"Web Development: website to mobile app conversion, web development plugin, software architecture & design, react; General: project management",Intermediate,"Intermediate Web Development professional with experience in website to mobile app conversion, web development plugin, software architecture & design, react.",$734-$2602
"Data Science: deep learning modeling, feature extraction, data analytics; General: ",Entry Level,"Entry Level Data Science professional with experience in deep learning modeling, feature extraction, data analytics.",$101-$523
"Cybersecurity: information security, penetration testing; General: ",Expert,"Expert Cybersecurity professional with experience in information security, penetration testing.",$3766-$9390
"Data Science: bigquery, python, tableau; General: ",Entry Level,"Entry Level Data Science professional with experience in bigquery, python, tableau.",$185-$764
"Marketing & SEO: market research, influencer marketing, tiktok marketing; General: sql, api",Entry Level,"Entry Level Marketing & SEO professional with experience in market research, influencer marketing, tiktok marketing.",$77-$728
"Business & Consulting: business process modeling, business consulting, organizational development; General: api, agile",Entry Level,"Entry Level Business & Consulting professional with experience in business process modeling, business consulting, organizational development.",$477-$972
"Mobile Development: mobile app improvement, mobile app redesign, mobile ui designer; General: project management",Expert,"Expert Mobile Development professional with experience in mobile app improvement, mobile app redesign, mobile ui designer.",$4440-$7879
"Web Development: dbt, web application, gatsby.js; General: agile",Intermediate,"Intermediate Web Development professional with experience in dbt, web application, gatsby.js.",$1011-$2597
"Writing & Content Creation: research papers, content strategy, content writing, content creation; General: sql",Intermediate,"Intermediate Writing & Content Creation professional with experience in research papers, content strategy, content writing, content creation.",$908-$2981
"Web Development: html5, css; General: project management, sql",Entry Level,"Entry Level Web Development professional with experience in html5, css.",$88-$541
"Writing & Content Creation: speech writing, copywriting, content creation, content strategy; General: agile",Intermediate,"Intermediate Writing & Content Creation professional with experience in speech writing, copywriting, content creation, content strategy.",$659-$2398
"Web Development: css, dbt, web development, php; General: api, git",Expert,"Expert Web Development professional with experience in css, dbt, web development, php.",$3820-$8273
"Graphic & Visual Design: visual communication, motion graphics; General: api",Intermediate,"Intermediate Graphic & Visual Design professional with experience in visual communication, motion graphics.",$1411-$2207
"DevOps: ci/cd, infrastructure management, automation, azure devops; General: git, agile",Entry Level,"Entry Level DevOps professional with experience in ci/cd, infrastructure management, automation, azure devops.",$127-$965
"UI/UX Design: ux & ui, prototyping, responsive design, user experience design; General: api, agile",Entry Level,"Entry Level UI/UX Design professional with experience in ux & ui, prototyping, responsive design, user experience design.",$500-$629
"Marketing & SEO: seo keyword research, marketing strategy, technical seo, email marketing; General: sql",Entry Level,"Entry Level Marketing & SEO professional with experience in seo keyword research, marketing strategy, technical seo, email marketing.",$90-$811
"Project Management: scrum master, project objectives; General: sql, agile",Entry Level,"Entry Level Project Management professional with experience in scrum master, project objectives.",$410-$974
"Marketing & SEO: google tag manager, marketing strategy, google analytics, content writing; General: ",Entry Level,"Entry Level Marketing & SEO professional with experience in google tag manager, marketing strategy, google analytics, content writing.",$220-$721
"UI/UX Design: ux & ui, ui/ux prototyping, wireframing; General: ",Expert,"Expert UI/UX Design professional with experience in ux & ui, ui/ux prototyping, wireframing.",$2662-$5963
"Data Science: gradient boosting, rapidminer, deep learning modeling, hypothesis testing; General: ",Expert,"Expert Data Science professional with experience in gradient boosting, rapidminer, deep learning modeling, hypothesis testing.",$1535-$8416
"Database Management: mysql, data warehousing, nosql database, database management; General: git, project management",Expert,"Expert Database Management professional with experience in mysql, data warehousing, nosql database, database management.",$1667-$5676
"DevOps: kubernetes, deployment automation, infrastructure management; General: ",Expert,"Expert DevOps professional with experience in kubernetes, deployment automation, infrastructure management.",$3164-$9850
"DevOps: azure app service, openshift, automation; General: project management",Intermediate,"Intermediate DevOps professional with experience in azure app service, openshift, automation.",$590-$2969
"Education & Training: academic research, coaching, training & development; General: sql, project management",Intermediate,"Intermediate Education & Training professional with experience in academic research, coaching, training & development.",$627-$2251
"Translation & Languages: english to japanese translation, dutch to english translation; General: git",Expert,"Expert Translation & Languages professional with experience in english to japanese translation, dutch to english translation.",$3201-$6172
"Business & Consulting: partnership development, organizational structure, business presentation, business development; General: git, sql",Entry Level,"Entry Level Business & Consulting professional with experience in partnership development, organizational structure, business presentation, business development.",$237-$957
"Cybersecurity: vpn, firewall; General: sql, git",Entry Level,"Entry Level Cybersecurity professional with experience in vpn, firewall.",$459-$678
"Mobile Development: ionic framework, mobile app development; General: api, sql",Intermediate,"Intermediate Mobile Development professional with experience in ionic framework, mobile app development.",$1192-$2542
"Cybersecurity: security assessment & testing, cyber threat intelligence, encryption, personal information protection & electronic documents act; General: project management, git",Intermediate,"Intermediate Cybersecurity professional with experience in security assessment & testing, cyber threat intelligence, encryption, personal information protection & electronic documents act.",$1286-$2758
"Writing & Content Creation: content audit, creative writing, ebook writing, fiction writing; General: agile, git",Intermediate,"Intermediate Writing & Content Creation professional with experience in content audit, creative writing, ebook writing, fiction writing.",$752-$1827
"Education & Training: presentation design, teaching english, coaching; General: project management",Intermediate,"Intermediate Education & Training professional with experience in presentation design, teaching english, coaching.",$515-$2975
"Project Management: project management professional, scrum, milestones; General: ",Entry Level,"Entry Level Project Management professional with experience in project management professional, scrum, milestones.",$303-$663
"Mobile Development: android sdk, mobile app improvement, mobile app design; General: sql",Intermediate,"Intermediate Mobile Development professional with experience in android sdk, mobile app improvement, mobile app design.",$1158-$2952
"Database Management: data warehousing, database development; General: ",Intermediate,"Intermediate Database Management professional with experience in data warehousing, database development.",$1090-$2627
"Marketing & SEO: google ads, marketing strategy, content seo; General: ",Entry Level,"Entry Level Marketing & SEO professional with experience in google ads, marketing strategy, content seo.",$343-$553
"Cybersecurity: web application security, cybersecurity management, security assessment & testing, firewall; General: ",Entry Level,"Entry Level Cybersecurity professional with experience in web application security, cybersecurity management, security assessment & testing, firewall.",$104-$562
"Graphic & Visual Design: adobe lightroom, visual presentation design, motion graphics, typography; General: project management",Intermediate,"Intermediate Graphic & Visual Design professional with experience in adobe lightroom, visual presentation design, motion graphics, typography.",$908-$1502
"Database Management: oracle database, postgresql; General: git, api",Entry Level,"Entry Level Database Management professional with experience in oracle database, postgresql.",$284-$527
"Web Development: web scraping framework, virtual reality, react; General: ",Intermediate,"Intermediate Web Development professional with experience in web scraping framework, virtual reality, react.",$653-$1568
"DevOps: aws cloudformation, azure devops server; General: api, sql",Expert,"Expert DevOps professional with experience in aws cloudformation, azure devops server.",$4652-$5675
"Writing & Content Creation: white paper, product documentation, content seo; General: ",Intermediate,"Intermediate Writing & Content Creation professional with experience in white paper, product documentation, content seo.",$809-$2322
"Database Management: database management, mariadb, database design; General: ",Expert,"Expert Database Management professional with experience in database management, mariadb, database design.",$4634-$7246
"Writing & Content Creation: blog writing, academic writing; General: project management, api",Intermediate,"Intermediate Writing & Content Creation professional with experience in blog writing, academic writing.",$546-$2986
"Project Management: resource allocation, digital project management, project delivery; General: ",Intermediate,"Intermediate Project Management professional with experience in resource allocation, digital project management, project delivery.",$1320-$2717
"Cybersecurity: source code scanning, cybersecurity management, vpn, network security; General: ",Entry Level,"Entry Level Cybersecurity professional with experience in source code scanning, cybersecurity management, vpn, network security.",$373-$865
"Data Science: numpy, exploratory data analysis, report writing; General: sql",Intermediate,"Intermediate Data Science professional with experience in numpy, exploratory data analysis, report writing.",$766-$2973
"Data Science: data visualization, google data studio; General: git",Expert,"Expert Data Science professional with experience in data visualization, google data studio.",$1864-$9361
"Project Management: digital project management, project planning, resource allocation, project objectives; General: ",Expert,"Expert Project Management professional with experience in digital project management, project planning, resource allocation, project objectives.",$2497-$5785
"Education & Training: academic proofreading, teaching spanish; General: sql, api",Expert,"Expert Education & Training professional with experience in academic proofreading, teaching spanish.",$4003-$8235
"Cybersecurity: cyber threat intelligence, cybersecurity management; General: project management",Intermediate,"Intermediate Cybersecurity professional with experience in cyber threat intelligence, cybersecurity management.",$1133-$1992
"Education & Training: training online lms, academic editing, learning theory, educational technology; General: sql",Entry Level,"Entry Level Education & Training professional with experience in training online lms, academic editing, learning theory, educational technology.",$293-$553
"Translation & Languages: chinese to english translation, japanese, english to czech translation; General: api",Intermediate,"Intermediate Translation & Languages professional with experience in chinese to english translation, japanese, english to czech translation.",$1197-$1589
"Web Development: web scraping plugin, web development plugin, api development; General: ",Expert,"Expert Web Development professional with experience in web scraping plugin, web development plugin, api development.",$3469-$6526
"Data Science: bayesian statistics, report writing; General: api, agile",Expert,"Expert Data Science professional with experience in bayesian statistics, report writing.",$4146-$7818
"Mobile Development: flutter, ux wireframe; General: sql, agile",Intermediate,"Intermediate Mobile Development professional with experience in flutter, ux wireframe.",$942-$2009
"Graphic & Visual Design: package graphics, digital design; General: agile",Entry Level,"Entry Level Graphic & Visual Design professional with experience in package graphics, digital design.",$471-$612
"Cybersecurity: information security consultation, encryption, security assessment & testing; General: git, api",Intermediate,"Intermediate Cybersecurity professional with experience in information security consultation, encryption, security assessment & testing.",$573-$2753
"Education & Training: learning management system, curriculum design; General: ",Entry Level,"Entry Level Education & Training professional with experience in learning management system, curriculum design.",$431-$653
"Marketing & SEO: community management, search engine optimization, youtube marketing, social media strategy; General: git, sql",Expert,"Expert Marketing & SEO professional with experience in community management, search engine optimization, youtube marketing, social media strategy.",$4078-$9308
"Mobile Development: ios, swift, android app development, mobile app redesign; General: project management",Expert,"Expert Mobile Development professional with experience in ios, swift, android app development, mobile app redesign.",$2371-$5098
"Education & Training: bilingual education, learning management system, learning theory; General: ",Entry Level,"Entry Level Education & Training professional with experience in bilingual education, learning management system, learning theory.",$480-$761
"Graphic & Visual Design: visual presentation design, adobe photoshop; General: project management, sql",Entry Level,"Entry Level Graphic & Visual Design professional with experience in visual presentation design, adobe photoshop.",$265-$732
"Translation & Languages: english to italian translation, norwegian, finnish to english translation; General: agile, project management",Entry Level,"Entry Level Translation & Languages professional with experience in english to italian translation, norwegian, finnish to english translation.",$152-$622
"Project Management: lean consulting, resource allocation, kanban methodology; General: ",Intermediate,"Intermediate Project Management professional with experience in lean consulting, resource allocation, kanban methodology.",$1267-$2155
"Graphic & Visual Design: graphic design, character design; General: agile, sql",Expert,"Expert Graphic & Visual Design professional with experience in graphic design, character design.",$1505-$9899
"DevOps: ansible, cloud architecture, infrastructure management, azure devops; General: sql, agile",Expert,"Expert DevOps professional with experience in ansible, cloud architecture, infrastructure management, azure devops.",$3319-$6790
"Marketing & SEO: google tag manager, organic traffic growth, market research; General: ",Intermediate,"Intermediate Marketing & SEO professional with experience in google tag manager, organic traffic growth, market research.",$545-$2083
"Data Science: unsupervised learning, data interpretation; General: api, git",Intermediate,"Intermediate Data Science professional with experience in unsupervised learning, data interpretation.",$1181-$1684
"Cybersecurity: source code scanning, web application security, information security; General: api, project management",Intermediate,"Intermediate Cybersecurity professional with experience in source code scanning, web application security, information security.",$549-$2081
"Education & Training: training online lms, teaching english; General: project management",Expert,"Expert Education & Training professional with experience in training online lms, teaching english.",$2170-$6190
"Business & Consulting: company research, partnership development; General: git",Intermediate,"Intermediate Business & Consulting professional with experience in company research, partnership development.",$776-$2248
